Description,Price,Location,Beds,Baths,Area,Developer,Tags,Property type,Cashback,Location depth,Emirate,Specific location,District,Verified,SuperAgent,First Sale,New,Net price,Cashback percent,Price per sqft,Price_M
Apartment - Studio - 1 Bathroom for sale in Palazzo Tissoli by Pininfarina - Al Marjan Island - Ras Al Khaimah,1300000.0,"Palazzo Tissoli by Pininfarina, Al Marjan Island, Ras Al Khaimah",0.0,1.0,470.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Palazzo Tissoli by Pininfarina,Al Marjan Island,0,1,1,0,1300000.0,0.0,2765.9574468085107,1.3
Villa - 5 Bedrooms - 7 Bathrooms for sale in Al Helio 2 - Al Helio - Ajman,2350000.0,"Al Helio 2, Al Helio, Ajman",5.0,7.0,4000.0,HONEST REAL ESTATE ,"SuperAgent, First Sale",Villa,0.0,3,Ajman,Al Helio 2,Al Helio,0,1,1,0,2350000.0,0.0,587.5,2.35
Villa - 4 Bedrooms - 6 Bathrooms for sale in Al Zaheya Gardens - Al Zahya - Ajman,1450000.0,"Al Zaheya Gardens, Al Zahya, Ajman",4.0,6.0,3014.0,HONEST REAL ESTATE ,"SuperAgent, First Sale",Villa,0.0,3,Ajman,Al Zaheya Gardens,Al Zahya,0,1,1,0,1450000.0,0.0,481.0882548108826,1.45
Apartment - 3 Bedrooms - 4 Bathrooms for sale in Le Chateau - Al Marjan Island - Ras Al Khaimah,4663000.0,"Le Chateau, Al Marjan Island, Ras Al Khaimah",3.0,4.0,1665.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Le Chateau,Al Marjan Island,0,1,1,0,4663000.0,0.0,2800.6006006006005,4.66
Apartment - 2 Bedrooms - 3 Bathrooms for sale in Le Chateau - Al Marjan Island - Ras Al Khaimah,3243000.0,"Le Chateau, Al Marjan Island, Ras Al Khaimah",2.0,3.0,1266.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Le Chateau,Al Marjan Island,0,1,1,0,3243000.0,0.0,2561.611374407583,3.24
Apartment - 1 Bedroom - 2 Bathrooms for sale in Le Chateau - Al Marjan Island - Ras Al Khaimah,2140000.0,"Le Chateau, Al Marjan Island, Ras Al Khaimah",1.0,2.0,835.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Le Chateau,Al Marjan Island,0,1,1,0,2140000.0,0.0,2562.874251497006,2.14
Land - Studio for sale in Pearl Jumeirah Villas - Pearl Jumeirah - Jumeirah - Dubai,20000000.0,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai",0.0,0.0,9700.0,Mastermind Real Estate ,SuperAgent,Land,42000.0,4,Dubai,Pearl Jumeirah Villas,"Pearl Jumeirah,  Jumeirah",0,1,0,0,19958000.0,0.0021,2061.855670103093,20.0
Villa - 4 Bedrooms - 5 Bathrooms for sale in Souk Al Jubail - Al Jubail Island - Abu Dhabi,11500000.0,"Souk Al Jubail, Al Jubail Island, Abu Dhabi",4.0,5.0,7820.0,Al Mira Real Estate ,"Verified, SuperAgent",Villa,25000.0,3,Abu Dhabi,Souk Al Jubail,Al Jubail Island,1,1,0,0,11475000.0,0.002173913043478261,1470.5882352941176,11.5
Villa - 4 Bedrooms - 6 Bathrooms for sale in Nawayef West - Al Hudayriat Island - Abu Dhabi,7900000.0,"Nawayef West, Al Hudayriat Island, Abu Dhabi",4.0,6.0,4942.0,Al Mira Real Estate ,SuperAgent,Villa,0.0,3,Abu Dhabi,Nawayef West,Al Hudayriat Island,0,1,0,0,7900000.0,0.0,1598.5430999595305,7.9
Villa - 5 Bedrooms - 6 Bathrooms for sale in District One West Phase I - District One - Mohammed Bin Rashid City - Dubai,19500000.0,"District One West Phase I, District One, Mohammed Bin Rashid City, Dubai",5.0,6.0,8642.0,Union Square House Real Estate ,"Verified, SuperAgent",Villa,0.0,4,Dubai,District One West Phase I,"District One,  Mohammed Bin Rashid City",1,1,0,0,19500000.0,0.0,2256.422124508216,19.5
